Grant,Project,Data Collection (use in Sample Metadata),Collection title,Collection description,Archive URL,License
U01 ZhangKun,zhangK_snareseq,zhangK_hs_snareseq_AC,High-throughput sequencing of the transcriptome and accessible chromatin in the same cells of the Primary Motor Cortex,"~90,000 dual-omic data sets of human primary motor cortex (MOp) SNARE-seq2 data sets that were generated using samples from 2 individuals provided by the Allen Brain Institute. ",,CCBY4
U01 ZhangKun,zhangK_snareseq,zhangK_hs_snareseq_R,High-throughput sequencing of the transcriptome and accessible chromatin in the same cells of the Primary Motor Cortex,"~90,000 dual-omic data sets of human primary motor cortex (MOp) SNARE-seq2 data sets that were generated using samples from 2 individuals provided by the Allen Brain Institute. ",,CCBY4
U01 ZhangKun,zhangK_snareseq,zhangK_cj_snareseq_AC,High-throughput sequencing of the transcriptome and accessible chromatin in the same cells of the Primary Motor Cortex,"~10,000 dual-omic data sets generated from 2 different marmoset MOp samples provided by Guoping Feng's group.",http://data.nemoarchive.org/biccn/grant/zhang/zhang/,CCBY4
U01 ZhangLi,zhangl_anatomy_proj,zhangl_anatomy,Cell Atlas of Mouse Brain-Spinal Cord Connectome using Light Sheet Microscopy,,,CCBY4
U01 ZhangLi,zhangl_ephys_proj,zhang_ephys,Patch-clamp ephys data in NWB format for mouse spinal cord,Patch-clamp ephys data in NWB format for mouse spinal cord,,
U01 ZhangLi,zhangl_kz_omics_proj,zhangl_kz_omics,Mouse spinal cord 10x v3 sequence reads,10x v3 sequencing reads from single nucleu RNA-sequencing on mouse spinal cord samples,,
U01 ZhangLi,zhangl_seqfish_proj,zhangl_seqfish,Cell Atlas of Mouse Brain-Spinal Cord Connectome using seqFISH,Deep transcriptomic analysis of the mouse spinal cord.,http://download.brainimagelibrary.org/biccn/zhangl/seqfish/,CCBY4
U19 Ecker,ecker_sn_mCseq_retro_proj,ecker_sn_mCseq_retro,Regional DNA methylation profiling of individual projection neurons isolated from the mouse brain (RS2.1),Single nucleus DNA methylation data from cells labeled by retrograde tracers.,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,CCBY4
U19 Ecker,ecker_sn_mCseq_proj,ecker_sn_mCseq,DNA methylation profiling of genomic DNA in individual mouse brain cell nuclei (RS1.1),Single nucleus DNA methylation data.,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,CCBY4
U19 Ecker,ecker_trio_proj,ecker_trio,Linking inputs to outputs of projection neurons within epigenetically defined regions in the mouse brain (RS2.2),Fluorescent imaging of brain tissue sections labeled by TRIO tracing using 3 different viruses.,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,CCBY4
U19 Ecker,ecker_sn_ATACseq_proj,ecker_sn_ATACseq,Chromatin accessibility profiling of genomic DNA in individual mouse brain cell nuclei (RS1.2),Single nucleus ATACseq chromatin accessibility data.,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,CCBY4
U19 Huang,dulac_hyp_sn_10x_proj,dulac_hyp_sn_10xv2,HYP single nucleus 10x v2 sequence reads,10x v2 sequencing data for single nuclei from mouse hypothalamus,,
U19 Huang,dulac_pag_sn_10x_proj,dulac_pag_sn_10xv2,10x Chromium 3' v2 sequencing reads of the periaqueductal gray matter,10x Chromium 3' v2 sequencing reads of single nucleus RNA sequencing of the periaqueductal gray matter,,
U19 Huang,dulac_poa_dev_sn_10x_proj,dulac_poa_dev_sn_10x_RNAseq,Single-nucleus RNA-seq of preoptic area development from late embryonic to adult stages,,,
U19 Huang,huang_stpt_count_proj,huang_stpt_count,Projection Neuron subpopulation cell soma location and distribution,Serial two photon tomography of projection neuron subtypes labeled by transgenic strategies.,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,CCBY4
U19 Huang,huang_pn_proj,huang_pn_sn_10xv2,Transcriptomic profiling of single nuclei from cortical projection neurons: 10x v2,High-throughput single-nucleus RNA sequencing using 10x v2 of genetically labelled projection neuron (PN) populations of selected cortical regions.,http://data.nemoarchive.org/biccn/grant/huang/arlotta/transcriptome/scell/,CCBY4
U19 Huang,huang_pn_proj,huang_pn_sn_10xv3,Transcriptomic profiling of single nuclei from cortical projection neurons: 10x v3,High-throughput single-nucleus RNA sequencing using 10x v3 of genetically labelled projection neuron (PN) populations of selected cortical regions.,,
U19 Huang,huang_pn_proj,huang_pn_bulk_SSv4,Transcriptomic profiling of bulk sorted nuclei from cortical projection neurons,SMART-seq v4 sequencing from bulk nuclei sorted from fluorescently labeled cortical projection neurons.,http://data.nemoarchive.org/biccn/grant/huang/arlotta/transcriptome/bulk/,CCBY4
U19 Huang,huang_fmost_proj,huang_fmost,Single cell morphology fMOST imaging of the mouse brain,Single cell morphology fMOST imaging of the mouse brain.,,
U19 Huang,huang_fmost_proj,huang_fmost_cells,Single cell reconstructions in the mouse brain,Single cell reconstructions in the mouse brain.,,
U19 Huang,huang_retro_proj,huang_retro,Quadruple retrograde pathway tracing,Fluorescent imaging of brain tissue sections labeled by 4 retrograde tracers with nissl counterstain.,http://download.brainimagelibrary.org/biccn/huang/dong/retrograde/quad/,CCBY4
U19 Huang,huang_sn_10xv2_proj,huang_sn_10xv2,Transcriptomic cell types in the mouse brain: 10x nuclei (v2),Single nucleus profiling of cell types using 10X v2.,http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/; http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,CCBY4
U19 Huang,huang_macosko_sn_10xv3_proj,huang_sn_10xv3,Transcriptomic cell types in the mouse brain: 10x nuclei (v3),Single nucleus profiling of cell types using 10X v3.,,
U19 Huang,huang_stpt_conn_proj,huang_stpt_conn,Cre-dependent anterograde tracing in the forebrain,Serial two photon tomography of mouse brain labeled with fluorescent Cre-dependent anterograde tracing.,http://download.brainimagelibrary.org/biccn/huang/connectivity/anterograde/,CCBY4
U19 Huang,huang_stpt_conn_proj,huang_stpt_count,Projection Neuron subpopulation cell soma location and distribution,,,
U19 Huang,huang_antero_proj,huang_antero,Triple anterograde pathway tracing,Fluorescent imaging of brain tissue sections marked by anterograde tracer injections with nissl counterstain.,http://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,CCBY4
U19 Huang,huang_input_conn_proj,huang_input_conn,Input Connectivity in Mouse using Retrograde Transsynaptic Tracing,Input Connectivity in Mouse using Retrograde Transsynaptic Tracing,,
U19 Huang,huang_dev_cx_proj,huang_dev_cx_scATAC,Single cell 10x ATAC-seq,High-throughput single-cell ATAC sequencing using 10x  of the developing mouse cortex from wild type mouse.,,
U19 Huang,huang_dev_cx_proj,huang_dev_cx_scRNA,Single cell 10x v2,High-throughput single-cell RNA sequencing using 10x v2 of the developing mouse cortex from wild type mouse.,,
U19 Huang,huang_ccf4_proj,huang_ccf4_hist,Nissl images of mouse brain CCF-Nissl v4,,,
U19 Huang,huang_ccf4_proj,huang_ccf4_mri,MRI images  of mouse reference brain CCF-Nissl v4,,,
U19 Huang,zhuang_dulac_merfish_HYP_proj,zhuang_dulac_merfish_HYP_1,A molecularly defined and spatially resolved cell atlas of the mouse hypothalamus,,,
U19 Huang,zhuang_dulac_merfish_HYP_proj,zhuang_dulac_merfish_HYP_2,A molecularly defined and spatially resolved cell atlas of the mouse hypothalamus,,,
U19 Huang,zhuang_dulac_merfish_HYP_proj,zhuang_dulac_merfish_HYP_3,A molecularly defined and spatially resolved cell atlas of the mouse hypothalamus,,,
U19 Huang,zhuang_dulac_merfish_PAG_proj,zhuang_dulac_merfish_PAG,MERFISH imaging of the mouse periaqueductal gray,"In situ, spatially resolved, gene expression profiling of individual cells in the mouse periaqueductal gray by multuplexed error-robust fluorescence in situ hybridization (MERFISH). ~2.9 million cells,  262 marker genes, and 26 activity-related genes were imaged.",,
U19 Huang,zhuang_dulac_merfish_PAG_proj,zhuang_dulac_merfish_PAG_1,MERFISH imaging of the mouse periaqueductal gray,"In situ, spatially resolved, gene expression profiling of individual cells in the mouse periaqueductal gray by multuplexed error-robust fluorescence in situ hybridization (MERFISH). ~2.9 million cells,  262 marker genes, and 26 activity-related genes were imaged.",,
U19 Huang,zhuang_dulac_merfish_PAG_proj,zhuang_dulac_merfish_PAG_2,Processed MERFISH data of the mouse periaqueductal gray (PAG),"In situ, spatially resolved, gene expression profiling of individual cells in the mouse periaqueductal gray by multuplexed error-robust fluorescence in situ hybridization (MERFISH). ~2.9 million cells,  262 marker genes, and 26 activity-related genes were imaged.",,
U19 Huang,zhuang_merfish_NAc_proj,zhuang_merfish_NAc,A molecularly defined and spatially resolved cell atlas of the mouse nucleus accumbens,"In situ, spatially resolved, gene expression profiling of individual cells in the mouse nucleus accumbens by multuplexed error-robust fluorescence in situ hybridization (MERFISH). ~750,000 cells and 253 genes were imaged.",,
U19 Zeng,zeng_tolias_pseq_proj,zeng_tolias_pseq_e,Patch-seq of mouse motor cortex: electrophysiology,Patch-clamp electrophysiology recordings.,http://identifiers.org/DANDI:000008,CCBY4
U19 Zeng,zeng_tolias_pseq_proj,zeng_tolias_pseq_t,Patch-seq of mouse motor cortex: transcriptomics,Transcriptomics from patched cells.,http://data.nemoarchive.org/biccn/grant/zeng/tolias/,CCBY4
U19 Zeng,zeng_tolias_pseq_proj,zeng_tolias_pseq_m,Patch-seq of mouse motor cortex: morphology,Morphological reconstructions.,http://download.brainimagelibrary.org/biccn/zeng/tolias/pseq/morph/,CCBY4
U19 Zeng,zeng_sn_SSv4_proj,zeng_sc_SSv4,Transcriptomic cell types in the mouse brain: SMART-seq cells,Single nucleus characterization in mouse brain using SMART-seq v4.,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/SMARTer/,CCBY4
U19 Zeng,zeng_sn_SSv4_proj,zeng_sn_SSv4,Transcriptomic cell types in the mouse brain: SMART-seq nuclei,Single nucleus characterization in mouse brain using SMART-seq v4.,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/SMARTer/,CCBY4
U19 Zeng,TransgenicSTPT,zeng_expr_char,Transgene Expression Data By Serial Two Photon Tomography,Serial two photon tomography of specific transgenic lines to support CCF annotation.,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,AIBSTOU
U19 Zeng,zeng_sn_10x_proj,zeng_sn_10xv2,Transcriptomic cell types in the mouse brain: 10x nuclei,Single nucleus characterization in mouse brain using 10x 3' v2 sequencing.,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/10X/,CCBY4
U19 Zeng,zeng_sn_10x_proj,zeng_sn_10xv3,Transcriptomic cell types in the mouse brain: 10x nuclei,Single nucleus characterization in mouse brain using 10x 3' v3 sequencing.,,
U19 Zeng,zeng_sc_10x_proj,zeng_sc_10xv2,Transcriptomic cell types in the mouse brain: 10x v2 cells,Single cell characterization in mouse brain using 10x 3' v2 sequencing.,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/,CCBY4; AIBSTOU
U19 Zeng,zeng_sc_10x_proj,zeng_sc_10xv3,Transcriptomic cell types in the mouse brain: 10x v3 cells,Single cell characterization in mouse brain using 10x 3' v3 sequencing.,http://data.nemoarchive.org/biccn/assay/transcriptome/zeng/scell/10X/raw/MOp_v3/,CCBY4; AIBSTOU
U19 Zeng,zeng_retro_proj,zeng_retro,Retrograde trans-synaptic imaging,Serial two photon tomography of brains labeled by retrograde trans-synaptic.,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,CCBY4; AIBSTOU
U19 Zeng,zeng_mouselight_proj,zeng_mouselight,MouseLight imaging,MouseLight imaging.,http://download.brainimagelibrary.org/biccn/zeng/mouselight/,CCBY4
U19 Zeng,zeng_fmost_proj,zeng_fmost_cells,Full morphology single cell reconstructions in mouse whole brain fMOST images,Reconstructed neurons based on fMOST imaging.,http://download.brainimagelibrary.org/b4/d4/b4d4211078a67217/,CCBY4; AIBSTOU
U19 Zeng,zeng_fmost_proj,zeng_fmost,Full morphology in the mouse brain fMOST,High voxel resolution whole mouse brain datasets with fluorescence micro-optical sectioning tomography (fMOST) imaging method.,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,CCBY4; AIBSTOU
U19 Zeng,zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,Transcriptomic cell types of ventromedial hypothalamus in the mouse: 10x cells (v2),Single-cell RNA sequencing.,http://data.nemoarchive.org/biccn/grant/zeng/anderson/transcriptome/scell/10x/,CCBY4
U19 Zeng,zeng_anderson_sc_10xv3_proj,zeng_anderson_sc_10xv3,10x 3' v3 sequencing in VMHvl in female mouse,,,
U19 Zeng,zhuang_merfish_proj,zhuang_merfish,A molecularly defined and spatially resolved cell atlas using spatial transcriptomics,MERFISH spatial transcriptomic data.,http://download.brainimagelibrary.org/biccn/zeng/zhuang/merfish/,CCBY4
U19 Zeng,zhuang_dulac_merfish_MOB_proj,zhuang_dulac_merfish_MOB,A molecularly defined and spatially resolved projection atlas of the sensory neurons into the mouse main olfatory bulb,"In situ, spatially resolved sensory neuron projections into the main olfactory bulb by multuplexed error-robust fluorescence in situ hybridization (MERFISH). 355 sections and ~1100 genes were imaged.",,
U19 Zeng,zhuang_dulac_merfish_MOE_proj,zhuang_dulac_merfish_MOE,A molecularly defined and spatially resolved cell atlas of the mouse main olfactory epithelium,"In situ, spatially resolved, gene expression profiling of individual cells in the main olfactory epithelium by multuplexed error-robust fluorescence in situ hybridization (MERFISH). ~3.3 million cells and ~1100 genes were imaged.",,
U19 Zeng,zhuang_merfish_MOp_proj,zhuang_merfish_M1,A molecularly defined and spatially resolved cell atlas of the mouse primary motor cortex,"In situ, spatially resolved, gene expression profiling of individual cells in the mouse primary motor cortex by multuplexed error-robust fluorescence in situ hybridization (MERFISH). ~300,000 cells and 258 genes were imaged.",,
U19 Zeng,zhuang_merfish_MOp_proj,zhuang_merfish_MOp,A molecularly defined and spatially resolved cell atlas of the mouse primary motor cortex,"In situ, spatially resolved, gene expression profiling of individual cells in the mouse primary motor cortex by multuplexed error-robust fluorescence in situ hybridization (MERFISH). ~300,000 cells and 258 genes were imaged.",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
